Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
audifono-xiaomi-redmi-buds-6-play,Audifono Xiaomi Redmi Buds 6 Play,Color,Blanco,,,,,,,,Sucursal Chalchuapa,,0,0,0,0,0,
audifono-xiaomi-redmi-buds-6-play,Audifono Xiaomi Redmi Buds 6 Play,Color,Blanco,,,,,,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
audifono-xiaomi-redmi-buds-6-play,Audifono Xiaomi Redmi Buds 6 Play,Color,Blanco,,,,,,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
camara-de-video-vigilancia-domo-hikvision-ds-2ce16k0t-lfs-5mp,Cámara de video vigilancia Domo HIKVISION DS-2CE16K0T-LFS 5MP,Title,Default Title,,,,,DS-2CE16K0T-LFS,,,Sucursal Chalchuapa,,0,0,0,5,5,
camara-de-video-vigilancia-domo-hikvision-ds-2ce16k0t-lfs-5mp,Cámara de video vigilancia Domo HIKVISION DS-2CE16K0T-LFS 5MP,Title,Default Title,,,,,DS-2CE16K0T-LFS,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
camara-de-video-vigilancia-domo-hikvision-ds-2ce16k0t-lfs-5mp,Cámara de video vigilancia Domo HIKVISION DS-2CE16K0T-LFS 5MP,Title,Default Title,,,,,DS-2CE16K0T-LFS,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
bocina-inalambrica-jbl-charge-7,Bocina Inalámbrica JBL Charge 6,Color,Rosa,,,,,JBL CHARGE 6 PK,,,Sucursal Chalchuapa,,0,0,0,9,9,
bocina-inalambrica-jbl-charge-7,Bocina Inalámbrica JBL Charge 6,Color,Rosa,,,,,JBL CHARGE 6 PK,,,Sucursal Santa Ana Independencia,,0,0,0,4,4,
bocina-inalambrica-jbl-charge-7,Bocina Inalámbrica JBL Charge 6,Color,Rosa,,,,,JBL CHARGE 6 PK,,,Sucursal Santa Ana Zarzamora,,0,0,0,2,2,
camara-de-vigilancia-ezviz-cs-eb8-sp-2k,Cámara de video vigilancia EZVIZ CS-EB8/SP 2K,Title,Default Title,,,,,CS-EB8/SP,,,Sucursal Chalchuapa,,0,0,0,2,2,
camara-de-vigilancia-ezviz-cs-eb8-sp-2k,Cámara de video vigilancia EZVIZ CS-EB8/SP 2K,Title,Default Title,,,,,CS-EB8/SP,,,Sucursal Santa Ana Independencia,,0,0,0,3,3,
camara-de-vigilancia-ezviz-cs-eb8-sp-2k,Cámara de video vigilancia EZVIZ CS-EB8/SP 2K,Title,Default Title,,,,,CS-EB8/SP,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
camara-de-vigilancia-ip-2k-ezviz-cs-h9c-2mp,Cámara de video vigilancia IP EZVIZ CS-H9C 3MP,Title,Default Title,,,,,,,,Sucursal Chalchuapa,,0,0,0,2,2,
camara-de-vigilancia-ip-2k-ezviz-cs-h9c-2mp,Cámara de video vigilancia IP EZVIZ CS-H9C 3MP,Title,Default Title,,,,,,,,Sucursal Santa Ana Independencia,,0,0,0,3,3,
camara-de-vigilancia-ip-2k-ezviz-cs-h9c-2mp,Cámara de video vigilancia IP EZVIZ CS-H9C 3MP,Title,Default Title,,,,,,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
audifonos-con-microfono-jbl-vibe-buds-2-bluetooth-con-anc,Audífonos con Micrófono JBL VIBE BUDS 2 Bluetooth con ANC,Title,Default Title,,,,,JBL VIBE BUDS 2,,,Sucursal Chalchuapa,,0,0,0,7,7,
audifonos-con-microfono-jbl-vibe-buds-2-bluetooth-con-anc,Audífonos con Micrófono JBL VIBE BUDS 2 Bluetooth con ANC,Title,Default Title,,,,,JBL VIBE BUDS 2,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
audifonos-con-microfono-jbl-vibe-buds-2-bluetooth-con-anc,Audífonos con Micrófono JBL VIBE BUDS 2 Bluetooth con ANC,Title,Default Title,,,,,JBL VIBE BUDS 2,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
unidad-de-estado-solido-dahua-dhi-ssd-c800as240g-240gb-sata,Unidad de Estado Sólido DAHUA DHI-SSD-C800AS240G 240GB SATA,Title,Default Title,,,,,DHI-SSD-C800AS240G,,,Sucursal Chalchuapa,,0,0,0,0,0,
unidad-de-estado-solido-dahua-dhi-ssd-c800as240g-240gb-sata,Unidad de Estado Sólido DAHUA DHI-SSD-C800AS240G 240GB SATA,Title,Default Title,,,,,DHI-SSD-C800AS240G,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
unidad-de-estado-solido-dahua-dhi-ssd-c800as240g-240gb-sata,Unidad de Estado Sólido DAHUA DHI-SSD-C800AS240G 240GB SATA,Title,Default Title,,,,,DHI-SSD-C800AS240G,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
case-xyz-quantum-pro-6-2,"Case XYZ QUANTUM PRO 6,2",Color,Negro,,,,,XYZ-QUANTUMPRO-BK,,,Sucursal Chalchuapa,,0,0,0,0,0,
case-xyz-quantum-pro-6-2,"Case XYZ QUANTUM PRO 6,2",Color,Negro,,,,,XYZ-QUANTUMPRO-BK,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
case-xyz-quantum-pro-6-2,"Case XYZ QUANTUM PRO 6,2",Color,Negro,,,,,XYZ-QUANTUMPRO-BK,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
bocina-jbl-charge-5-bluetooth,Bocina JBL Charge 5 Bluetooth,color,Negro,,,,,JBLCHARGE5-BK,,,Sucursal Chalchuapa,,0,0,0,0,0,
bocina-jbl-charge-5-bluetooth,Bocina JBL Charge 5 Bluetooth,color,Negro,,,,,JBLCHARGE5-BK,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
